,,,,Oxygen,,,,,,,,,,,,,,,,Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,,,
Log Date Time,MS,Tick,Day,Crew O2 Consumed,Crew Env O2,VPGC Env O2,O2 Store,Total Sim O2,O2 Created by OGS,VPGC Plant O2 Produced,Crew GARDEN O2 Produced,Total O2 Produced,B(X) - Change in Creation of O2/Change in Total O2,B(X) Daily Aerage,"M(X,?) - O2 Consumed or Removed/Total O2","M(X,?)Daily Average","Eigenvalue, ?","Eigenvalue, ? of Daily Average",Filter for Daily value,CO2 Store,Crew CO2 Injected,VPGC CO2 Injected,VPGC CO2 Injected (kg/Day),Total CO2 Injected,Crew CO2 Produced ,Crew CO2 Produced (kg/Day),VCCR CO2 Removed,VPGC CO2 Consumed,GARDEN CO2 Consumed,Plant CO2 Consumed,Plant CO2 Consumed (kg/Day),PhisoChem Removal (kg/Day),Air Revitalization (kg CO2 per Day),Crew Env CO2,VPGC Env CO2,Total Sim CO2,CO2 Concentration (%) ,B(X) - Change in Creation of CO2/Change in Total CO2,B(X) Daily Aerage,"M(X,?) - CO2 Consumed or Removed/Total CO2","CO2 M(X,?)Daily Average","CO2 Eigenvalue, ?","CO2 Eigenvalue, ? of Daily Average",CRS And waste?
10/14/2020 11:31,461,35,,0,2062.2156,343.24698,1825.1304,4230.59298,15.420277,0.14453177,2.47E-06,15.56481124,0.000258345,,0,,-0.000258345,,FALSE,7917.197,0,0,,0,0,,0.0147901,0.13507642,2.28E-06,0.135078704,,,,4.01E-04,18.039242,7935.236643,,0,,1.88865E-05,,1.88865E-05,,
10/14/2020 11:31,461,36,,0,2062.2156,363.39554,1820.5507,4246.16184,15.420277,0.14855276,2.60E-06,15.56883236,0.00025828,,0,,-0.00025828,,FALSE,7914.4194,0,0,,0,0,,3.91E-04,0.13883434,2.41E-06,0.138836747,,,,8.25E-06,17.90041,7932.319818,,0,,1.75519E-05,,1.75519E-05,,
10/14/2020 11:31,461,37,,0,2062.2156,353.54813,1845.971,4261.73473,15.420277,0.15257372,2.73E-06,15.57285345,0.000258211,,0,,-0.000258211,,FALSE,7891.6416,20,0,,20,0,,0,0.14259225,2.53E-06,0.14259478,,,,20.000006,17.757816,7929.399422,,0,,1.7983E-05,,1.7983E-05,,
10/14/2020 11:31,477,38,,0,2062.2156,373.70474,1841.3912,4277.31154,15.420277,0.1565947,2.88E-06,15.57687458,0.000258148,,0,,-0.000258148,,FALSE,7908.293,0,0,,0,0,,19.428965,0.14635018,2.67E-06,0.146352848,,,,0.5710384,17.61147,7926.475508,,0,,0.002469612,,0.002469612,,
10/14/2020 11:31,477,39,,0,2062.2156,363.8654,1866.8115,4292.8925,15.420277,0.16061565,3.03E-06,15.58089568,0.000258078,,0,,-0.000258078,,FALSE,7906.071,0,0,,0,0,,0.5558427,0.15010808,2.81E-06,0.150110887,,,,0.01519292,17.46136,7923.547553,,0,,8.90956E-05,,8.90956E-05,,
10/14/2020 11:31,477,40,,0,2062.2156,344.03006,1902.2318,4308.47746,15.420277,0.16463661,3.18E-06,15.58491679,0.000258012,,0,,-0.000258012,,FALSE,7903.3076,0,0,,0,0,,0.014789471,0.153866,2.94E-06,0.153868945,,,,4.01E-04,17.307491,7920.615492,,0,,2.12936E-05,,2.12936E-05,,
10/14/2020 11:31,477,41,,0,2062.2156,364.19876,1897.6521,4324.06646,15.420277,0.1686576,3.33E-06,15.58893793,0.000257948,,0,,-0.000257948,,FALSE,7900.5303,0,0,,0,0,,3.90E-04,0.15762392,3.09E-06,0.157627008,,,,7.55E-06,17.149868,7917.680176,,0,,1.99575E-05,,1.99575E-05,,
10/14/2020 11:31,477,42,,0,2062.2156,354.3715,1923.0724,4339.6595,15.420277,0.17267855,3.49E-06,15.59295904,0.000257878,,0,,-0.000257878,,FALSE,7877.7524,20,0,,20,0,,0,0.16138183,3.23E-06,0.16138506,,,,20.000004,16.988483,7914.740887,,0,,2.03904E-05,,2.03904E-05,,
10/14/2020 11:31,493,43,,0,2062.2156,374.54825,1918.4927,4355.25655,15.420277,0.17669953,3.66E-06,15.59698019,0.000257815,,0,,-0.000257815,,FALSE,7894.404,0,0,,0,0,,19.428963,0.16513975,3.39E-06,0.165143139,,,,0.5710377,16.823345,7911.798383,,0,,0.002476568,,0.002476568,,
10/14/2020 11:31,493,44,,0,2062.2156,364.7289,1943.913,4370.8575,15.420277,0.1807205,3.82E-06,15.60100132,0.000257749,,0,,-0.000257749,,FALSE,7892.1816,0,0,,0,0,,0.555842,0.16889764,3.54E-06,0.168901181,,,,0.015192186,16.654446,7908.851238,,0,,9.1637E-05,,9.1637E-05,,
10/14/2020 11:31,508,45,,0,2062.2156,344.9136,1979.3333,4386.4625,15.420277,0.18474148,3.99E-06,15.60502247,0.000257683,,0,,-0.000257683,,FALSE,7889.4185,0,0,,0,0,,0.014788757,0.17265558,3.70E-06,0.172659278,,,,4.00E-04,16.481792,7905.900692,,0,,2.37099E-05,,2.37099E-05,,
10/14/2020 11:31,508,46,,0,2062.2156,365.10233,1974.7535,4402.07143,15.420277,0.18876243,4.16E-06,15.60904359,0.000257617,,0,,-0.000257617,,FALSE,7886.641,0,0,,0,0,,3.89E-04,0.17641348,3.85E-06,0.176417334,,,,6.76E-06,16.305378,7902.946385,,0,,2.23722E-05,,2.23722E-05,,
10/14/2020 11:31,508,47,,0,2062.2156,355.29507,2000.1738,4417.68447,15.420277,0.19278342,4.34E-06,15.61306476,0.000257552,,0,,-0.000257552,,FALSE,7863.8633,20,0,,20,0,,0,0.18017139,4.02E-06,0.180175406,,,,20.000002,16.12521,7899.988512,,0,,2.2807E-05,,2.2807E-05,,
10/14/2020 11:31,524,48,2,0,2062.2156,375.49185,1995.5941,4433.30155,15.420277,0.19680436,4.53E-06,15.61708589,0.000257483,,0,,-0.000257483,,TRUE,7880.5146,0,0,,0,0,,19.42896,0.18392932,4.19E-06,0.183933514,0.148595934,4.375540238,4.524136172,0.57103693,15.94128,7897.026917,,0,,0.002483579,,0.002483579,,
10/14/2020 11:31,524,49,,0,2062.2156,365.69266,2021.0144,4448.92266,15.420277,0.20082533,4.71E-06,15.62110704,0.000257418,,0,,-0.000257418,,FALSE,7878.2925,0,0,,0,0,,0.5558412,0.18768723,4.37E-06,0.187691596,,,,0.015191361,15.753593,7894.061284,,0,,9.41889E-05,,9.41889E-05,,
10/14/2020 11:31,539,50,,0,2062.2156,345.8975,2056.4346,4464.5477,15.420277,0.20484632,4.91E-06,15.62512823,0.000257355,,0,,-0.000257355,,FALSE,7875.5293,0,0,,0,0,,0.014787953,0.19144516,4.54E-06,0.191449702,,,,3.99E-04,15.562149,7891.091848,,0,,2.61355E-05,,2.61355E-05,,
10/14/2020 11:31,539,51,,0,2062.2156,366.10635,2051.8547,4480.17665,15.420277,0.2088673,5.09E-06,15.62914939,0.00025729,,0,,-0.00025729,,FALSE,7872.752,0,0,,0,0,,3.88E-04,0.19520307,4.72E-06,0.195207787,,,,5.87E-06,15.366947,7888.118953,,0,,2.47963E-05,,2.47963E-05,,
10/14/2020 11:31,555,52,,0,2062.2156,356.31924,2077.275,4495.80984,15.420277,0.21288826,5.29E-06,15.63317055,0.000257219,,0,,-0.000257219,,FALSE,7849.974,20,0,,20,0,,0,0.19896097,4.90E-06,0.198965866,,,,20.000002,15.167988,7885.14199,,0,,2.5233E-05,,2.5233E-05,,
10/14/2020 11:31,555,53,,0,2062.2156,376.53616,2072.695,4511.44676,15.420277,0.21690923,5.50E-06,15.63719173,0.00025716,,0,,-0.00025716,,FALSE,7866.6255,0,0,,0,0,,19.42896,0.20271891,5.09E-06,0.202724005,,,,0.57103604,14.965267,7882.161803,,0,,0.002490647,,0.002490647,,
